t,dt,accepted,err_est,y_norm_ratio,step_ratio
1.8697436881417603e-01,4.2633944788125428e-03,1,5.3891459599566792e-08,2.3190411619726351e-02,9.1821186960145973e-01
1.9131641100040805e-01,4.3420421862320254e-03,1,5.3795099440161003e-08,2.1260220259928266e-02,9.1676769729450536e-01
1.9574013481725841e-01,4.4237238168503435e-03,1,5.3695016587799060e-08,1.9458846451296457e-02,9.1527021890610050e-01
2.0024875570180334e-01,4.5086208845449335e-03,1,5.3590990490755415e-08,1.7779866813019071e-02,9.1371638383191400e-01
2.0484568549549551e-01,4.5969297936921559e-03,1,5.3482782979612966e-08,1.6217068121277548e-02,9.1210290222212542e-01
2.0953454889852235e-01,4.6888634030268356e-03,1,5.3370136317333500e-08,1.4764444045115656e-02,9.1042622098528514e-01
2.1431920169259566e-01,4.7846527940733144e-03,1,5.3252771332977370e-08,1.3416191878610468e-02,9.0868249678854562e-01
2.1920375096264688e-01,4.8845492700512168e-03,1,5.3130385048823383e-08,1.2166709270130084e-02,9.0686756571568994e-01
2.2419257758890340e-01,4.9888266262565215e-03,1,5.3002648160246294e-08,1.1010590947944477e-02,9.0497690899675398e-01
2.2929036132175701e-01,5.0977837328536136e-03,1,5.2869202155778266e-08,9.9426254423013657e-03,9.0300561425883452e-01
2.3450210880377240e-01,5.2117474820153869e-03,1,5.2729656073734250e-08,8.9577918038634494e-03,9.0094833158977350e-01
2.3983318496415290e-01,5.3310761603805063e-03,1,5.2583582736765479e-08,8.0512563184361452e-03,8.9879922359477915e-01
2.4528934828599844e-01,5.4561633218455363e-03,1,5.2430514608566516e-08,7.2183692176106999e-03,8.9655190843716381e-01
2.5087679053228146e-01,5.5874422462830189e-03,1,5.2269938977760185e-08,6.4546613854295038e-03,8.9419939474445664e-01
2.5660218162436121e-01,5.7253910920797577e-03,1,5.2101292472396996e-08,5.7558410608068052e-03,8.9173400696120353e-01
2.6247272049535475e-01,5.8705388709935358e-03,1,5.1923954828701329e-08,5.1177905355011431e-03,8.8914729948845639e-01
2.6849619289620030e-01,6.0234724008455644e-03,1,5.1737241713075622e-08,4.5365628475368880e-03,8.8642995762870935e-01
2.7468103732397836e-01,6.1848444277780362e-03,1,5.1540396500296256e-08,4.0083784698526194e-03,8.8357168291605515e-01
2.8103642047611016e-01,6.3553831521318133e-03,1,5.1332580797740565e-08,3.5296219939907635e-03,8.8056105992419953e-01
2.8757232392363336e-01,6.5359034475231679e-03,1,5.1112863591220436e-08,3.0968388085887049e-03,8.7738540100359785e-01
2.9429964405365083e-01,6.7273201300174518e-03,1,5.0880208665309880e-08,2.7067317725154635e-03,8.7403056465472884e-01
3.0123030777876070e-01,6.9306637251098438e-03,1,5.0633460186395955e-08,2.3561578823517678e-03,8.7048074222814675e-01
3.0837740706768402e-01,7.1470992889233094e-03,1,5.0371326046534746e-08,2.0421249340280036e-03,8.6671820650222453e-01
3.1575535605483845e-01,7.3779489871544247e-03,1,5.0092358798017828e-08,1.7617881783264303e-03,8.6272301413576047e-01
3.2338007537248520e-01,7.6247193176467677e-03,1,4.9794933816891649e-08,1.5124469700242300e-03,8.5847265217827939e-01
3.3126920947706445e-01,7.8891341045792644e-03,1,4.9477224591486051e-08,1.2915414103842314e-03,8.5394161645451971e-01
3.3944238417697875e-01,8.1731746999143175e-03,1,4.9137175098121353e-08,1.0966489827441081e-03,8.4910090681324479e-01
3.4792151340680116e-01,8.4791292298224200e-03,1,4.8772469667362107e-08,9.2548118094888112e-04,8.4391742071659104e-01
3.5673116664725885e-01,8.8096532404577065e-03,1,4.8380501519108084e-08,7.7588013039729784e-04,8.3835322248454613e-01
3.6589901140407050e-01,9.1678447568116651e-03,1,4.7958342571965451e-08,6.4581520153205796e-04,8.3236466076449367e-01
3.7545634899886993e-01,9.5573375947994397e-03,1,4.7502719998344039e-08,5.3337961568268686e-04,8.2590130182342902e-01
3.8543876675427430e-01,9.9824177554043540e-03,1,4.7010010262296364e-08,4.3678704333951682e-04,8.1890464220396086e-01
3.9588693556796684e-01,1.0448168813692557e-02,1,4.6476271698367292e-08,3.5436819519135438e-04,8.1130656367913856e-01
4.0684758870124538e-01,1.0960653133278549e-02,1,4.5897356773673857e-08,2.8456740669728989e-04,8.0302750235140907e-01
4.1837472447122398e-01,1.1527135769978615e-02,1,4.5269185345155182e-08,2.2593921767270037e-04,7.9397433562391218e-01
4.3053107969056825e-01,1.2156355219344273e-02,1,4.4588342232561854e-08,1.7714494951185912e-04,7.8403807597702890e-01
4.4338991477007539e-01,1.2858835079507113e-02,1,4.3853333491626419e-08,1.3694928443494538e-04,7.7309166765591131e-01
4.5703711656894436e-01,1.3647201798868976e-02,1,4.3067197516488846e-08,1.0421685361829147e-04,7.6098866853004477e-01
4.7157351440835060e-01,1.4536397839406244e-02,1,4.2242926756943925e-08,7.7908843518053055e-05,7.4756472502427374e-01
4.8711700339660507e-01,1.5543488988254495e-02,1,4.1414650909370878e-08,5.7079627897303277e-05,7.3264632511297356e-01
5.0000000000000000e-01,1.2882996603394925e-02,1,1.4237718642020867e-08,4.4106460002404333e-05,7.7271807170432061e-01
