t,dt,accepted,err_est,y_norm_ratio,step_ratio
3.7069397599844756e-01,3.5025852268343659e-03,1,7.2562721512042355e-08,6.6933194710202248e-01,9.9609357592278192e-01
3.7420197962286039e-01,3.5080036244128422e-03,1,7.2562277754739335e-08,6.6670935091127048e-01,9.9608177048457502e-01
3.7771541718911206e-01,3.5134375662516904e-03,1,7.2561831255409875e-08,6.6408914253189999e-01,9.9606993905846808e-01
3.8123430433208139e-01,3.5188871429693348e-03,1,7.2561382655262868e-08,6.6147135817484559e-01,9.9605808288466546e-01
3.8475865676732784e-01,3.5243524352464562e-03,1,7.2560931349087885e-08,6.5885603481678845e-01,9.9604620317155756e-01
3.8828849030128681e-01,3.5298335339589465e-03,1,7.2560477504729575e-08,6.5624321014733045e-01,9.9603430107430901e-01
3.9182382082898848e-01,3.5353305277016859e-03,1,7.2560021445968888e-08,6.5363292252689253e-01,9.9602237770985569e-01
3.9536466432922185e-01,3.5408435002333627e-03,1,7.2559562814118817e-08,6.5102521094783450e-01,9.9601043416084856e-01
3.9891103687077822e-01,3.5463725415563786e-03,1,7.2559101702613463e-08,6.4842011498872243e-01,9.9599847146423204e-01
4.0246295461136583e-01,3.5519177405875812e-03,1,7.2558638119677198e-08,6.4581767477532770e-01,9.9598649062045230e-01
4.0602043379790731e-01,3.5574791865414777e-03,1,7.2558172180911251e-08,6.4321793094187263e-01,9.9597449259288307e-01
4.0958349076508144e-01,3.5630569671741101e-03,1,7.2557703715850137e-08,6.4062092459478492e-01,9.9596247831075724e-01
4.1315214193854211e-01,3.5686511734606468e-03,1,7.2557232773242203e-08,6.3802669727424322e-01,9.9595044866481264e-01
4.1672640383456244e-01,3.5742618960203426e-03,1,7.2556759649416632e-08,6.3543529091951267e-01,9.9593840451222260e-01
4.2030629305560352e-01,3.5798892210410506e-03,1,7.2556283834957843e-08,6.3284674783836281e-01,9.9592634668212388e-01
4.2389182629911937e-01,3.5855332435158717e-03,1,7.2555805580665357e-08,6.3026111066800250e-01,9.9591427596145177e-01
4.2748302035388897e-01,3.5911940547695993e-03,1,7.2555324949797473e-08,6.2767842234616100e-01,9.9590219310992523e-01
4.3107989209941677e-01,3.5968717455277977e-03,1,7.2554841921580035e-08,6.2509872608097450e-01,9.9589009885739899e-01
4.3468245850671877e-01,3.6025664073019827e-03,1,7.2554356409560782e-08,6.2252206532090082e-01,9.9587799390309462e-01
4.3829073664020252e-01,3.6082781334837491e-03,1,7.2553868418339898e-08,6.1994848372485722e-01,9.9586587891512413e-01
4.4190474365804955e-01,3.6140070178470344e-03,1,7.2553378100619622e-08,6.1737802513441387e-01,9.9585375453295866e-01
4.4552449681013684e-01,3.6197531520872788e-03,1,7.2552885236644311e-08,6.1481073354867866e-01,9.9584162137099674e-01
4.4915001344214472e-01,3.6255166320078975e-03,1,7.2552390036740225e-08,6.1224665309570259e-01,9.9582948001220439e-01
4.5278131099252167e-01,3.6312975503769284e-03,1,7.2551892435772066e-08,6.0968582800986160e-01,9.9581733101701309e-01
4.5641840699402653e-01,3.6370960015048356e-03,1,7.2551392329526539e-08,6.0712830260685258e-01,9.9580517491876541e-01
4.6006131907593656e-01,3.6429120819100060e-03,1,7.2550889663918658e-08,6.0457412125908883e-01,9.9579301222361616e-01
4.6371006496543177e-01,3.6487458894951968e-03,1,7.2550384932558844e-08,6.0202332837252037e-01,9.9578084341212592e-01
4.6736466247979308e-01,3.6545975143613251e-03,1,7.2549877376892010e-08,5.9947596837066230e-01,9.9576866895051308e-01
4.7102512953959585e-01,3.6604670598027610e-03,1,7.2549367642748815e-08,5.9693208566473632e-01,9.9575648926705085e-01
4.7469148415835138e-01,3.6663546187555070e-03,1,7.2548855392956332e-08,5.9439172464102918e-01,9.9574430477986742e-01
4.7836374444864971e-01,3.6722602902983059e-03,1,7.2548340857041976e-08,5.9185492963747133e-01,9.9573211587848087e-01
4.8204192861877393e-01,3.6781841701241961e-03,1,7.2547823547905633e-08,5.8932174492756584e-01,9.9571992293541067e-01
4.8572605498141663e-01,3.6841263626426822e-03,1,7.2547304185168985e-08,5.8679221469666620e-01,9.9570772629268833e-01
4.8941614194200633e-01,3.6900869605897097e-03,1,7.2546782160352255e-08,5.8426638303298384e-01,9.9569552628610092e-01
4.9311220800949251e-01,3.6960660674861564e-03,1,7.2546257968205748e-08,5.8174429390379789e-01,9.9568332321963571e-01
4.9681427178845106e-01,3.7020637789585619e-03,1,7.2545731007008970e-08,5.7922599114512974e-01,9.9567111738772884e-01
5.0000000000000000e-01,3.1857282115489438e-03,1,4.6131450288739677e-08,5.7706524745787435e-01,9.9626960164031397e-01
